,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_degree,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
108,0.04066658020019531,0.0009427407074916777,0.019333362579345703,0.00047137035374583886,1,4,0.0001,linear,"{'C': 1, 'degree': 4, 'gamma': 0.0001, 'kernel': 'linear'}",0.9712389380530974,0.9755011135857461,0.984304932735426,0.9769858945805494,0.00543639463011057,46,1.0,1.0,1.0,1.0,0.0
150,0.04066673914591471,0.0004714827453418679,0.02199999491373698,0.0014141672603851714,1000.0,4,1e-06,linear,"{'C': 1000.0, 'degree': 4, 'gamma': 1e-06, 'kernel': 'linear'}",0.9712389380530974,0.9755011135857461,0.984304932735426,0.9769858945805494,0.00543639463011057,46,1.0,1.0,1.0,1.0,0.0
148,0.04266667366027832,0.0004715389511856095,0.02200007438659668,0.0,1000.0,1,10.0,poly,"{'C': 1000.0, 'degree': 1, 'gamma': 10.0, 'kernel': 'poly'}",0.9712389380530974,0.9755011135857461,0.984304932735426,0.9769858945805494,0.00543639463011057,46,1.0,1.0,1.0,1.0,0.0
193,0.04233344395955404,0.0009427969083140527,0.02200007438659668,0.0,1000000.0,1,10.0,poly,"{'C': 1000000.0, 'degree': 1, 'gamma': 10.0, 'kernel': 'poly'}",0.9712389380530974,0.9755011135857461,0.984304932735426,0.9769858945805494,0.00543639463011057,46,1.0,1.0,1.0,1.0,0.0
195,0.04000012079874674,0.0008166320775582997,0.020333210627237957,0.0009428530990877068,1000000.0,4,1e-06,linear,"{'C': 1000000.0, 'degree': 4, 'gamma': 1e-06, 'kernel': 'linear'}",0.9712389380530974,0.9755011135857461,0.984304932735426,0.9769858945805494,0.00543639463011057,46,1.0,1.0,1.0,1.0,0.0
190,0.043666680653889976,0.0020549393673056355,0.024000008900960285,0.0035590584183557666,1000000.0,1,1.0,poly,"{'C': 1000000.0, 'degree': 1, 'gamma': 1.0, 'kernel': 'poly'}",0.9712389380530974,0.9755011135857461,0.984304932735426,0.9769858945805494,0.00543639463011057,46,1.0,1.0,1.0,1.0,0.0
189,0.039333343505859375,0.00047137035374583886,0.019333362579345703,0.00047137035374583886,1000000.0,1,1.0,linear,"{'C': 1000000.0, 'degree': 1, 'gamma': 1.0, 'kernel': 'linear'}",0.9712389380530974,0.9755011135857461,0.984304932735426,0.9769858945805494,0.00543639463011057,46,1.0,1.0,1.0,1.0,0.0
198,0.0410001277923584,0.0014142796519809341,0.019666671752929688,0.00047137035374583886,1000000.0,4,0.0001,linear,"{'C': 1000000.0, 'degree': 4, 'gamma': 0.0001, 'kernel': 'linear'}",0.9712389380530974,0.9755011135857461,0.984304932735426,0.9769858945805494,0.00543639463011057,46,1.0,1.0,1.0,1.0,0.0
201,0.044666687647501625,0.004642864699170489,0.019666751225789387,0.00047142655959197545,1000000.0,4,0.01,linear,"{'C': 1000000.0, 'degree': 4, 'gamma': 0.01, 'kernel': 'linear'}",0.9712389380530974,0.9755011135857461,0.984304932735426,0.9769858945805494,0.00543639463011057,46,1.0,1.0,1.0,1.0,0.0
187,0.042999982833862305,0.0008166320698241736,0.021000067392985027,0.0008166320775582997,1000000.0,1,0.01,poly,"{'C': 1000000.0, 'degree': 1, 'gamma': 0.01, 'kernel': 'poly'}",0.9712389380530974,0.9755011135857461,0.984304932735426,0.9769858945805494,0.00543639463011057,46,1.0,1.0,1.0,1.0,0.0
